FECHA_DOC,CANT,CVE_ART
2022-01-05,1,TUE00244
2022-01-05,1,TUA00028
2022-01-05,7,TP0007
2022-01-05,1,TP0001
2022-01-05,2,BP00242
2022-01-05,2,BP00243
2022-01-05,1,RP00165
2022-01-05,3,TP0001
2022-01-05,1,TUE00207
2022-01-05,1,TUE00207
2022-01-05,1,TUE00207
2022-01-05,1,TUE00207
2022-01-05,1,TUE00207
2022-01-05,1,BO00051
2022-01-05,1,BC00023
2022-01-05,5,PT00070
2022-01-05,2,TP0011
2022-01-05,3,PJ31C1F1AA00
2022-01-05,5,WRE-2133
2022-01-05,7,WRE-2774
2022-01-05,3,WRE-4885
2022-01-07,3,MR01934
2022-01-07,1,PT00080
2022-01-07,1,PT00081
2022-01-07,2,RP00150
2022-01-07,3,TUA00009
2022-01-07,5,TP0011
2022-01-07,6,TP0012
2022-01-07,2,PT00044
2022-01-07,30,BOBINA001
2022-01-10,6,TUE00247
2022-01-10,30,BOBINA001
2022-01-10,1,TUE00320
2022-01-11,10,PJ31A1F1A400
2022-01-11,10,PK31A1F1A400
2022-01-11,1,RP00172
2022-01-11,1,RP00173
2022-01-11,1,BN00232
2022-01-12,40,CBS00045
2022-01-12,1,MR01934
2022-01-12,3,TUE00321
2022-01-12,9,TF71E1120A00
2022-01-12,10,BO00052
2022-01-12,8,TUA00404
2022-01-13,2,TEE00025
2022-01-14,1,TUS00049
2022-01-14,2,TUE00322
2022-01-14,2,TUE00323
2022-01-14,4,TUS00020
2022-01-14,1,TUE00328
2022-01-17,5,TUS00003
2022-01-17,1,BB1 1/2X1/2-300W
2022-01-17,1,TP0008
2022-01-17,2,TUE00324
2022-01-17,2,TUE00325
2022-01-17,1,TUE00326
2022-01-17,1,TUE00327
2022-01-17,4,RB00010
2022-01-18,1,P7J6C1D1A030
2022-01-19,2,CS12E2040A00
2022-01-19,2,CS12E2040A00
2022-01-19,3,BC00024
2022-01-19,3,BC00025
2022-01-19,6,BP00241
2022-01-19,2,TP00016
2022-01-19,8,TUA00258
2022-01-19,2,BN00236
2022-01-19,4,BN00237
2022-01-20,4,TUA00364
2022-01-20,2,BP00245
2022-01-20,1,BP00244
2022-01-21,10,PK31B1I1A000
2022-01-21,1,BP00051
2022-01-21,1,TUA00400
2022-01-21,30,ECQ-00972
2022-01-21,3,TU5/16X230MM
2022-01-24,10,TUE00146
2022-01-24,6,BO00054
2022-01-24,6,BO00055
2022-01-24,8,70001693
2022-01-24,10,TP0004
2022-01-24,2,BE00010
2022-01-24,2,BL00011
2022-01-24,2,BL00052
2022-01-25,1,TUS00086
2022-01-25,12,TEA00058
2022-01-25,12,TEA00059
2022-01-25,1,TEE00026
2022-01-25,20,TP0003
2022-01-26,1,TP0001
2022-01-26,3,TUA00410
2022-01-26,1,CS14B1010A00
2022-01-27,1,TUA00350
2022-01-27,1,TP0001
2022-01-28,1,PK18J1F1A400
2022-01-28,3,RP00176
2022-01-28,3,TUS00064
2022-01-28,3,TUA00078
2022-01-28,2,CS38E1017A00
2022-01-28,1,TP0003
2022-01-28,1,TP0025
2022-01-31,2,PT00082
2022-01-31,2,54020219
2022-01-31,2,93980461
2022-01-31,1,PJ14F10B0600
2022-01-31,1,TUE00057
2022-01-31,4,TUE00331
2022-01-31,1,BT00005
2022-01-31,1,RC00024
2022-01-31,2,TUE00332
2022-01-31,1,TUA00124
2022-01-31,4,TUE00063
2022-01-31,2,TUE00129
2022-01-31,1,TUE00008
2022-01-31,1,TUA00401
2022-01-31,4,CAS00066
2022-01-31,2,BB00077
2022-01-31,1,TUS00052
2022-02-01,1,TU5/16X230MM
2022-02-01,4,TJ00087
2022-02-01,2,TJ00088
2022-02-02,1,BB1 1/2X1/2-300W
2022-02-02,2,CBS00002
2022-02-02,1,TUS00052
2022-02-02,1,TUA00407
2022-02-02,3,TP0005
2022-02-02,2,65014-38
2022-02-03,1,CS12G1040A00
2022-02-03,4,MA00001
2022-02-03,4,TUA00412
2022-02-03,4,TUA00414
2022-02-03,4,CS12J1075A00
2022-02-03,1,TUE00329
2022-02-03,1,TUE00330
2022-02-04,15,TUA00143
2022-02-04,1,BB2X2ST
2022-02-04,1,TUA00405
2022-02-04,1,TUA00406
2022-02-08,12,CBS00001
2022-02-08,4,BN00112
2022-02-08,10,RPISTOLA01
2022-02-08,3,TUA00408
2022-02-08,7,P231B1AF0500
2022-02-08,2,TUE00334
2022-02-09,2,TUA00400
2022-02-09,3,TUA00415
2022-02-09,1,TEA00004
2022-02-09,4,TUA00082
2022-02-09,3,TUE00098
2022-02-10,3,RC00026
2022-02-10,3,ECQ-01444
2022-02-10,3,TUS00002
2022-02-10,2,TP0016
2022-02-10,2,TP0026
2022-02-11,10,CBS00099
2022-02-11,6,TK00062
2022-02-11,1,TP0005
2022-02-11,2,CBS00100
2022-02-11,3,PK31B1G10000
2022-02-14,3,BN00055
2022-02-14,4,CS38M1050A01
2022-02-14,4,CS38N1050A01
2022-02-14,2,BL00053
2022-02-14,1,BN00232
2022-02-14,3,BP00246
2022-02-14,2,BP00247
2022-02-14,2,BP00248
2022-02-14,1,BN00115
2022-02-14,6,TUS00052
2022-02-14,1,TP0010
2022-02-14,6,CM12G2075A00
2022-02-14,1,RP00177
2022-02-15,2,TUS00111
2022-02-15,1,TUE00148
2022-02-15,1,TU5/16X230MM
2022-02-16,2,TP0002
2022-02-16,8,PT00057
2022-02-16,2,PT00082
2022-02-16,8,TU5/16X203V
2022-02-17,2,TUE00081
2022-02-17,1,TP0011
2022-02-17,1,TUA00280
2022-02-17,1,RP00178
2022-02-17,3,BO00053
2022-02-17,2,P7J6C1D1A030
2022-02-18,11,TEA00092
2022-02-18,6,TEA00093
2022-02-18,4,PK14C1D1G300
2022-02-18,2,TT00007
2022-02-18,2,TT00008
2022-02-18,2,TU5/16X203V240W
2022-02-18,3,TEA00023
2022-02-18,2,TP0001
2022-02-21,1,TU5/16X870J127V
2022-02-21,1,TEA00096
2022-02-21,6,TUA00025
2022-02-22,5,TP0015
2022-02-22,1,RP00175
2022-02-22,1,TP0016
2022-02-22,18,TUS00112
2022-02-22,2,TUA00403
2022-02-22,1,BB1 1/2X1/2-300W
2022-02-22,1,BB1 1/2X1/2-300W
2022-02-22,1,TP0025
2022-02-23,36,TUE00146
2022-02-23,2,BE00011
2022-02-23,2,BE00012
2022-02-23,2,BE00013
2022-02-23,2,BE00015
2022-02-23,2,BN00243
2022-02-23,2,BN00244
2022-02-23,2,BN00245
2022-02-23,2,BN00246
2022-02-23,7,BP00249
2022-02-23,2,PJ140FD1A000
2022-02-23,2,TUE00179
2022-02-23,2,RC00025
2022-02-23,2,CS58H1060A00
2022-02-23,2,CS58H1060A00
2022-02-23,1,TU5/16X870J127V
2022-02-24,3,CBS00101
2022-02-24,6,TUA00427
2022-02-24,10,TEA00006
2022-02-24,2,TEE00017
2022-02-24,1,CS12J2025A00
2022-02-25,1,TUE00207
2022-02-25,1,TUE00207
2022-02-25,1,TUE00207
