CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
F29414,2019-09-03,2019-09-18,3980.0
F29415,2019-09-03,2019-10-03,1550.0000000000002
F29416,2019-09-03,2019-10-03,1550.0
F29417,2019-09-03,2019-10-03,1550.0
F29418,2019-09-03,2019-09-03,2435.44
F29419,2019-09-04,2019-09-19,3979.9979999999996
F29420,2019-09-04,2019-09-04,402.59
F29421,2019-09-04,2019-09-04,402.59
F29422,2019-09-02,2019-09-04,1606.74
F29423,2019-09-02,2019-09-04,1144.4299999999998
F29424,2019-09-03,2019-09-04,462.31
F29425,2019-09-02,2019-09-04,1144.4299999999998
F29426,2019-09-04,2019-09-04,157.75799999999998
F29427,2019-09-04,2019-09-04,157.75799999999998
F29428,2019-09-04,2019-09-19,1724.137
F29429,2019-09-04,2019-09-04,1415.5172
F29430,2019-09-05,2019-09-20,1989.9989999999998
F29431,2019-09-05,2019-09-05,258.65999999999997
F29432,2019-09-05,2019-09-20,976.5
F29433,2019-09-05,2019-09-05,280.0
F29434,2019-09-06,2019-09-21,224.637
F29435,2019-09-06,2019-10-06,1196.6
F29436,2019-09-06,2019-09-21,976.5
F29437,2019-09-06,2019-09-06,224.64
F29438,2019-09-06,2019-09-21,1282.327
F29439,2019-09-06,2019-09-06,1964.0
F29440,2019-09-09,2019-09-09,229.66
F29441,2019-09-09,2019-09-09,1602.59
F29442,2019-09-09,2019-09-09,9586.0
F29443,2019-09-09,2019-09-09,105.00000000000001
F29444,2019-09-09,2019-09-09,1444.3999999999999
F29445,2019-09-09,2019-09-09,258.62
F29446,2019-09-09,2019-09-24,1724.137
F29447,2019-09-10,2019-09-10,852.2669999999999
F29448,2019-09-10,2019-09-10,517.241
F29449,2019-09-10,2019-09-10,258.62
F29450,2019-09-10,2019-09-10,2435.4400000000005
F29451,2019-09-10,2019-09-10,760.57
F29452,2019-09-10,2019-09-10,919.4560000000001
F29453,2019-09-04,2019-09-10,112.10000000000001
F29454,2019-09-10,2019-09-10,1432.83
